date,min-max,average_price
27 ก.ย. 2564,50 - 55,52.50 
28 ก.ย. 2564,45 - 50,47.50 
29 ก.ย. 2564,45 - 50,47.50 
30 ก.ย. 2564,45 - 50,47.50 
01 ต.ค. 2564,45 - 50,47.50 
04 ต.ค. 2564,50 - 55,52.50 
05 ต.ค. 2564,50 - 55,52.50 
06 ต.ค. 2564,55 - 60,57.50 
07 ต.ค. 2564,55 - 60,57.50 
08 ต.ค. 2564,55 - 60,57.50 
11 ต.ค. 2564,50 - 55,52.50 
12 ต.ค. 2564,40 - 45,42.50 
14 ต.ค. 2564,40 - 45,42.50 
15 ต.ค. 2564,40 - 45,42.50 
18 ต.ค. 2564,45 - 50,47.50 
19 ต.ค. 2564,50 - 55,52.50 
20 ต.ค. 2564,40 - 45,42.50 
25 ต.ค. 2564,45 - 50,47.50 
26 ต.ค. 2564,45 - 50,47.50 
27 ต.ค. 2564,45 - 50,47.50 
28 ต.ค. 2564,45 - 50,47.50 
29 ต.ค. 2564,50 - 55,52.50 
01 พ.ย. 2564,50 - 55,52.50 
02 พ.ย. 2564,50 - 55,52.50 
03 พ.ย. 2564,50 - 55,52.50 
04 พ.ย. 2564,45 - 50,47.50 
05 พ.ย. 2564,45 - 50,47.50 
08 พ.ย. 2564,40 - 45,42.50 
09 พ.ย. 2564,45 - 50,47.50 
10 พ.ย. 2564,50 - 55,52.50 
11 พ.ย. 2564,40 - 45,42.50 
12 พ.ย. 2564,45 - 50,47.50 
15 พ.ย. 2564,45 - 50,47.50 
16 พ.ย. 2564,45 - 50,47.50 
17 พ.ย. 2564,35 - 40,37.50 
18 พ.ย. 2564,35 - 40,37.50 
19 พ.ย. 2564,35 - 40,37.50 
22 พ.ย. 2564,25 - 30,27.50 
23 พ.ย. 2564,25 - 30,27.50 
24 พ.ย. 2564,25 - 30,27.50 
25 พ.ย. 2564,20 - 25,22.50 
26 พ.ย. 2564,20 - 25,22.50 
29 พ.ย. 2564,25 - 30,27.50 
30 พ.ย. 2564,25 - 30,27.50 
01 ธ.ค. 2564,25 - 30,27.50 
02 ธ.ค. 2564,25 - 30,27.50 
03 ธ.ค. 2564,20 - 25,22.50 
07 ธ.ค. 2564,20 - 25,22.50 
08 ธ.ค. 2564,20 - 25,22.50 
09 ธ.ค. 2564,20 - 25,22.50 
13 ธ.ค. 2564,20 - 25,22.50 
14 ธ.ค. 2564,20 - 25,22.50 
15 ธ.ค. 2564,15 - 20,17.50 
16 ธ.ค. 2564,15 - 20,17.50 
17 ธ.ค. 2564,15 - 20,17.50 
