date,average_rainfall,average_temp,average_humidity
2022-06-23,5.85860349127182,29.0,79.26
2022-06-24,5.561194029850742,28.5,81.33
2022-06-25,4.679104477611941,28.36,81.81
2022-06-26,3.4644278606965164,28.39,82.75
2022-06-27,3.789054726368159,28.75,81.46
2022-06-28,3.572602739726027,29.03,80.12
2022-06-29,4.313325031133243,29.53,78.48
2022-06-30,5.75486284289277,28.98,80.52
2022-07-01,7.825902864259025,28.66,81.08
2022-07-02,5.743890274314208,28.34,82.31
2022-07-03,4.022693266832919,28.75,81.4
2022-07-04,7.523690773067322,28.7,81.44
2022-07-05,2.9685393258427006,29.21,80.07
2022-07-06,5.506866416978772,28.95,81.52
2022-07-07,5.771285892634197,28.55,82.79
2022-07-08,11.70486891385768,28.25,83.24
2022-07-09,11.872817955112229,27.56,85.17
2022-07-10,7.4614232209737885,27.61,84.63
2022-07-11,11.569288389513105,27.45,85.45
2022-07-12,13.966958698372984,27.28,85.85
2022-07-13,8.65849999999999,26.6,87.2
2022-07-14,8.397253433208482,27.74,84.93
2022-07-15,3.471910112359548,28.66,83.14
2022-07-16,5.193499999999998,29.2,82.14
2022-07-17,2.0842500000000017,29.23,81.8
2022-07-18,2.204987531172072,30.16,78.67
2022-07-19,10.209203980099474,29.6,79.89
2022-07-20,15.634328358208982,28.44,83.82
2022-07-21,13.837965260545904,26.93,88.54
2022-07-22,11.72596273291926,27.34,86.58
2022-07-23,4.206956521739122,28.04,84.96
2022-07-24,4.048447204968941,28.55,83.51
2022-07-25,2.48298136645963,29.23,81.35
2022-07-26,3.811207970112079,29.47,80.77
2022-07-27,4.050497512437809,29.8,79.95
2022-07-28,3.534328358208952,29.54,81.03
2022-07-29,3.183830845771141,29.51,81.21
2022-07-30,7.138978829389781,29.33,81.86
2022-07-31,7.082440846824398,27.89,84.99
2022-08-01,9.49613947696139,27.5,86.28
2022-08-02,10.70624999999999,27.58,86.47
2022-08-03,6.242446941323337,28.25,84.12
2022-08-04,4.597755610972564,28.24,83.22
2022-08-05,2.86566791510612,27.96,82.74
2022-08-06,8.013965087281797,28.16,82.67
2022-08-07,14.2493765586035,27.49,85.23
2022-08-08,12.90350000000001,26.53,88.71
2022-08-09,6.018976279650433,27.28,85.42
2022-08-10,4.139076154806492,28.33,82.12
2022-08-11,10.106117353308356,28.02,83.16
2022-08-12,5.321446384039903,26.9,85.97
2022-08-13,2.924405506883605,28.27,82.31
2022-08-14,2.644918444165624,28.91,81.6
2022-08-15,17.196231155778896,28.14,84.37
2022-08-16,8.968805031446529,27.28,86.16
