date,min-max,average_price
05 เม.ย. 2565,20 - 25,22.50 
06 เม.ย. 2565,20 - 25,22.50 
07 เม.ย. 2565,20 - 25,22.50 
08 เม.ย. 2565,20 - 25,22.50 
09 เม.ย. 2565,20 - 25,22.50 
10 เม.ย. 2565,20 - 25,22.50 
11 เม.ย. 2565,20 - 25,22.50 
12 เม.ย. 2565,20 - 25,22.50 
13 เม.ย. 2565,20 - 25,22.50 
14 เม.ย. 2565,20 - 25,22.50 
15 เม.ย. 2565,20 - 25,22.50 
16 เม.ย. 2565,20 - 25,22.50 
17 เม.ย. 2565,20 - 25,22.50 
18 เม.ย. 2565,15 - 20,17.50 
19 เม.ย. 2565,15 - 20,17.50 
20 เม.ย. 2565,15 - 20,17.50 
21 เม.ย. 2565,15 - 20,17.50 
22 เม.ย. 2565,15 - 20,17.50 
23 เม.ย. 2565,15 - 20,17.50 
24 เม.ย. 2565,15 - 20,17.50 
25 เม.ย. 2565,15 - 20,17.50 
26 เม.ย. 2565,15 - 20,17.50 
27 เม.ย. 2565,15 - 20,17.50 
28 เม.ย. 2565,15 - 20,17.50 
29 เม.ย. 2565,20 - 25,22.50 
30 เม.ย. 2565,20 - 25,22.50 
01 พ.ค. 2565,20 - 25,22.50 
02 พ.ค. 2565,20 - 25,22.50 
03 พ.ค. 2565,20 - 25,22.50 
04 พ.ค. 2565,20 - 25,22.50 
05 พ.ค. 2565,20 - 25,22.50 
06 พ.ค. 2565,20 - 25,22.50 
07 พ.ค. 2565,25 - 30,27.50 
08 พ.ค. 2565,25 - 30,27.50 
09 พ.ค. 2565,20 - 25,22.50 
10 พ.ค. 2565,25 - 30,27.50 
11 พ.ค. 2565,25 - 30,27.50 
12 พ.ค. 2565,25 - 30,27.50 
13 พ.ค. 2565,25 - 30,27.50 
14 พ.ค. 2565,25 - 30,27.50 
15 พ.ค. 2565,25 - 30,27.50 
16 พ.ค. 2565,25 - 30,27.50 
17 พ.ค. 2565,30 - 35,32.50 
18 พ.ค. 2565,35 - 40,37.50 
19 พ.ค. 2565,40 - 45,42.50 
20 พ.ค. 2565,35 - 40,37.50 
21 พ.ค. 2565,35 - 40,37.50 
22 พ.ค. 2565,35 - 40,37.50 
23 พ.ค. 2565,35 - 40,37.50 
24 พ.ค. 2565,35 - 40,37.50 
25 พ.ค. 2565,40 - 45,42.50 
26 พ.ค. 2565,40 - 45,42.50 
27 พ.ค. 2565,40 - 45,42.50 
28 พ.ค. 2565,40 - 45,42.50 
29 พ.ค. 2565,40 - 45,42.50 
30 พ.ค. 2565,35 - 40,37.50 
31 พ.ค. 2565,35 - 40,37.50 
01 มิ.ย. 2565,35 - 40,37.50 
02 มิ.ย. 2565,30 - 35,32.50 
